Ingredient,Function,Group
secale cereale seed extract,abrasive,Cleansing and Exfoliating
moroccan lava clay,abrasive,Cleansing and Exfoliating
rosa rugosa bud powder,abrasive,Cleansing and Exfoliating
orthoclase,abrasive,Cleansing and Exfoliating
topaz,abrasive,Cleansing and Exfoliating
rosa canina seed,abrasive,Cleansing and Exfoliating
chlorophora tinctoria wood extract,abrasive,Cleansing and Exfoliating
charcoal powder,abrasive,Cleansing and Exfoliating
solum diatomeae,abrasive,Cleansing and Exfoliating
dolomite,abrasive,Cleansing and Exfoliating
magnesium potassium fluorosilicate,abrasive,Cleansing and Exfoliating
trichosanthes kirilowii fruit powder,abrasive,Cleansing and Exfoliating
magnesium trisilicate,abrasive,Cleansing and Exfoliating
wood powder,abrasive,Cleansing and Exfoliating
tribulus terrestris fruit powder,abrasive,Cleansing and Exfoliating
triticum vulgare starch,abrasive,Cleansing and Exfoliating
luffa cylindrica fruit,abrasive,Cleansing and Exfoliating
calcium carbonate,abrasive,Cleansing and Exfoliating
prunus persica seed powder,abrasive,Cleansing and Exfoliating
calcium sulfate hydrate,abrasive,Cleansing and Exfoliating
mangifera indica seed,abrasive,Cleansing and Exfoliating
oxidized beta-glucan,abrasive,Cleansing and Exfoliating
mauritia flexuosa pulp powder,abrasive,Cleansing and Exfoliating
dipentaerythrityl hexaisostearate,abrasive,Cleansing and Exfoliating
hydroxyapatite,abrasive,Cleansing and Exfoliating
schinziophyton rautanenii kernel powder,abrasive,Cleansing and Exfoliating
calcium pyrophosphate,abrasive,Cleansing and Exfoliating
hordeum vulgare powder,abrasive,Cleansing and Exfoliating
punica granatum seed,abrasive,Cleansing and Exfoliating
cocos nucifera fruit,abrasive,Cleansing and Exfoliating
margarita powder,abrasive,Cleansing and Exfoliating
garnet powder,abrasive,Cleansing and Exfoliating
zea mays starch,abrasive,Cleansing and Exfoliating
juglans regia leaf extract,abrasive,Cleansing and Exfoliating
zea mays kernel meal,abrasive,Cleansing and Exfoliating
platinum powder,abrasive,Cleansing and Exfoliating
sodium/aluminum hydroxide/oxalate/sulfate,abrasive,Cleansing and Exfoliating
conchiolin powder,abrasive,Cleansing and Exfoliating
coptis chinensis root/stalk powder,abrasive,Cleansing and Exfoliating
glycine soja hull,abrasive,Cleansing and Exfoliating
papaver somniferum seed,abrasive,Cleansing and Exfoliating
angelica dahurica root powder,abrasive,Cleansing and Exfoliating
corylus avellana shell powder,abrasive,Cleansing and Exfoliating
