Ingredient,Function

secale cereale seed extract,abrasive
moroccan lava clay,abrasive
rosa rugosa bud powder,abrasive
orthoclase,abrasive
topaz,abrasive
rosa canina seed,abrasive
chlorophora tinctoria wood extract,abrasive
charcoal powder,abrasive
solum diatomeae,abrasive
dolomite,abrasive
magnesium potassium fluorosilicate,abrasive
trichosanthes kirilowii fruit powder,abrasive
magnesium trisilicate,abrasive
wood powder,abrasive
tribulus terrestris fruit powder,abrasive
triticum vulgare starch,abrasive
luffa cylindrica fruit,abrasive
calcium carbonate,abrasive
prunus persica seed powder,abrasive
calcium sulfate hydrate,abrasive
mangifera indica seed,abrasive
oxidized beta-glucan,abrasive
mauritia flexuosa pulp powder,abrasive
dipentaerythrityl hexaisostearate,abrasive
hydroxyapatite,abrasive
schinziophyton rautanenii kernel powder,abrasive
calcium pyrophosphate,abrasive
hordeum vulgare powder,abrasive
punica granatum seed,abrasive
cocos nucifera fruit,abrasive
margarita powder,abrasive
garnet powder,abrasive
zea mays starch,abrasive
juglans regia leaf extract,abrasive
zea mays kernel meal,abrasive
platinum powder,abrasive
sodium/aluminum hydroxide/oxalate/sulfate,abrasive
conchiolin powder,abrasive
coptis chinensis root/stalk powder,abrasive
glycine soja hull,abrasive
papaver somniferum seed,abrasive
angelica dahurica root powder,abrasive
corylus avellana shell powder,abrasive
paeonia officinalis flower powder,abrasive
oryza sativa bran,abrasive
sodium magnesium fluorosilicate,abrasive
leonurus artemisia powder,abrasive
paeonia lactiflora root powder,abrasive
sodium/aluminum/iron hydroxide/oxalate/sulfate,abrasive
mel powder,abrasive
agave americana leaf powder,abrasive
prunus persica fruit extract,abrasive
matteuccia struthiopteris bud powder,abrasive
codonopsis pilosula root powder,abrasive
volcanic ash,abrasive
secale cereale seed flour,abrasive
tin oxide,abrasive
salvia hispanica seed,abrasive
calcium titanium borosilicate,abrasive
volcanic rock,abrasive
sophora flavescens root powder,abrasive
phaseolus radiatus seed starch,abrasive
phellodendron amurense bark,abrasive
nacre powder,abrasive
phormium tenax seed,abrasive
helianthus annuus seed flour,abrasive
theobroma cacao husk,abrasive
theobroma cacao shell powder,abrasive
sodium bicarbonate,abrasive
sodium hydroxypropyl starch phosphate,abrasive
angelica archangelica seed powder,abrasive
coffea robusta seed powder,abrasive
persea gratissima fruit powder,abrasive
hydrated silica,abrasive
lauryl acrylate/va crosspolymer,abrasive
synthetic wax,abrasive
actinidia chinensis seed,abrasive
ostrea shell extract,abrasive
