Ingredient,Function,Group
secale cereale seed extract,abrasive,Cleansing and Purifying
moroccan lava clay,abrasive,Cleansing and Purifying
rosa rugosa bud powder,abrasive,Cleansing and Purifying
orthoclase,abrasive,Cleansing and Purifying
topaz,abrasive,Cleansing and Purifying
rosa canina seed,abrasive,Cleansing and Purifying
chlorophora tinctoria wood extract,abrasive,Cleansing and Purifying
charcoal powder,abrasive,Cleansing and Purifying
solum diatomeae,abrasive,Cleansing and Purifying
dolomite,abrasive,Cleansing and Purifying
magnesium potassium fluorosilicate,abrasive,Cleansing and Purifying
trichosanthes kirilowii fruit powder,abrasive,Cleansing and Purifying
magnesium trisilicate,abrasive,Cleansing and Purifying
wood powder,abrasive,Cleansing and Purifying
tribulus terrestris fruit powder,abrasive,Cleansing and Purifying
triticum vulgare starch,abrasive,Cleansing and Purifying
luffa cylindrica fruit,abrasive,Cleansing and Purifying
calcium carbonate,abrasive,Cleansing and Purifying
prunus persica seed powder,abrasive,Cleansing and Purifying
calcium sulfate hydrate,abrasive,Cleansing and Purifying
mangifera indica seed,abrasive,Cleansing and Purifying
oxidized beta-glucan,abrasive,Cleansing and Purifying
mauritia flexuosa pulp powder,abrasive,Cleansing and Purifying
dipentaerythrityl hexaisostearate,abrasive,Cleansing and Purifying
hydroxyapatite,abrasive,Cleansing and Purifying
schinziophyton rautanenii kernel powder,abrasive,Cleansing and Purifying
calcium pyrophosphate,abrasive,Cleansing and Purifying
hordeum vulgare powder,abrasive,Cleansing and Purifying
punica granatum seed,abrasive,Cleansing and Purifying
cocos nucifera fruit,abrasive,Cleansing and Purifying
margarita powder,abrasive,Cleansing and Purifying
garnet powder,abrasive,Cleansing and Purifying
zea mays starch,abrasive,Cleansing and Purifying
juglans regia leaf extract,abrasive,Cleansing and Purifying
zea mays kernel meal,abrasive,Cleansing and Purifying
platinum powder,abrasive,Cleansing and Purifying
sodium/aluminum hydroxide/oxalate/sulfate,abrasive,Cleansing and Purifying
conchiolin powder,abrasive,Cleansing and Purifying
coptis chinensis root/stalk powder,abrasive,Cleansing and Purifying
glycine soja hull,abrasive,Cleansing and Purifying
papaver somniferum seed,abrasive,Cleansing and Purifying
angelica dahurica root powder,abrasive,Cleansing and Purifying
corylus avellana shell powder,abrasive,Cleansing and Purifying
paeonia officinalis flower powder,abrasive,Cleansing and Purifying
oryza sativa bran,abrasive,Cleansing and Purifying
sodium magnesium fluorosilicate,abrasive,Cleansing and Purifying
leonurus artemisia powder,abrasive,Cleansing and Purifying
paeonia lactiflora root powder,abrasive,Cleansing and Purifying
sodium/aluminum/iron hydroxide/oxalate/sulfate,abrasive,Cleansing and Purifying
mel powder,abrasive,Cleansing and Purifying
agave americana leaf powder,abrasive,Cleansing and Purifying
prunus persica fruit extract,abrasive,Cleansing and Purifying
matteuccia struthiopteris bud powder,abrasive,Cleansing and Purifying
codonopsis pilosula root powder,abrasive,Cleansing and Purifying
volcanic ash,abrasive,Cleansing and Purifying
secale cereale seed flour,abrasive,Cleansing and Purifying
tin oxide,abrasive,Cleansing and Purifying
salvia hispanica seed,abrasive,Cleansing and Purifying
calcium titanium borosilicate,abrasive,Cleansing and Purifying
volcanic rock,abrasive,Cleansing and Purifying
sophora flavescens root powder,abrasive,Cleansing and Purifying
phaseolus radiatus seed starch,abrasive,Cleansing and Purifying
phellodendron amurense bark,abrasive,Cleansing and Purifying
nacre powder,abrasive,Cleansing and Purifying
phormium tenax seed,abrasive,Cleansing and Purifying
helianthus annuus seed flour,abrasive,Cleansing and Purifying
theobroma cacao husk,abrasive,Cleansing and Purifying
theobroma cacao shell powder,abrasive,Cleansing and Purifying
sodium bicarbonate,abrasive,Cleansing and Purifying
sodium hydroxypropyl starch phosphate,abrasive,Cleansing and Purifying
angelica archangelica seed powder,abrasive,Cleansing and Purifying
coffea robusta seed powder,abrasive,Cleansing and Purifying
persea gratissima fruit powder,abrasive,Cleansing and Purifying
hydrated silica,abrasive,Cleansing and Purifying
lauryl acrylate/va crosspolymer,abrasive,Cleansing and Purifying
synthetic wax,abrasive,Cleansing and Purifying
actinidia chinensis seed,abrasive,Cleansing and Purifying
ostrea shell extract,abrasive,Cleansing and Purifying
glass,abrasive,Cleansing and Purifying
ovum powder,abrasive,Cleansing and Purifying
silica,abrasive,Cleansing and Purifying
plantago psyllium husk powder,abrasive,Cleansing and Purifying
phaseolus angularis seed,abrasive,Cleansing and Purifying
calcium phosphate,abrasive,Cleansing and Purifying
chenopodium quinoa seed,abrasive,Cleansing and Purifying
punica granatum seed powder,abrasive,Cleansing and Purifying
hibiscus sabdariffa flower powder,abrasive,Cleansing and Purifying
kochia scoparia fruit powder,abrasive,Cleansing and Purifying
helianthus annuus seedcake,abrasive,Cleansing and Purifying
quartz powder,abrasive,Cleansing and Purifying
synthetic ruby,abrasive,Cleansing and Purifying
triticum vulgare kernel flour,abrasive,Cleansing and Purifying
vibrio alginolyticus ferment filtrate,abrasive,Cleansing and Purifying
bletilla striata root/stalk powder,abrasive,Cleansing and Purifying
silicon carbide,abrasive,Cleansing and Purifying
luteum ovi powder,abrasive,Cleansing and Purifying
juglans regia seed,abrasive,Cleansing and Purifying
prunus avium shell powder,abrasive,Cleansing and Purifying
prunus armeniaca seed powder,abrasive,Cleansing and Purifying
mentha viridis leaf powder,abrasive,Cleansing and Purifying
arachis hypogaea flour,abrasive,Cleansing and Purifying
elguea clay,abrasive,Cleansing and Purifying
glycine soja seed powder,abrasive,Cleansing and Purifying
bertholletia excelsa seed powder,abrasive,Cleansing and Purifying
zea mays cob powder,abrasive,Cleansing and Purifying
pyrus cydonia seed,abrasive,Cleansing and Purifying
garcinia mangostana peel powder,abrasive,Cleansing and Purifying
dicalcium phosphate,abrasive,Cleansing and Purifying
castanea crenata shell powder,abrasive,Cleansing and Purifying
talc,abrasive,Cleansing and Purifying
oryza sativa hull powder,abrasive,Cleansing and Purifying
aluminum iron silicates,abrasive,Cleansing and Purifying
olea europaea fruit,abrasive,Cleansing and Purifying
